;BB;cond;age;zf0_Original;zf0_Original_mum;M_minus_NM;M_minus_NM_mum
128;18;m100;7.166666666666667;0.24713704989344104;0.2049277405257317;-35.38696205071324;-29.626533712951527
129;18;m100;7.166666666666667;0.24713704989344104;1.9163166513818304;-35.38696205071324;-37.920550804720506
130;18;m100;7.166666666666667;0.24713704989344104;2.270852348092836;-35.38696205071324;-43.77831364015958
132;18;m100;7.166666666666667;0.24713704989344104;1.4605798177551943;-35.38696205071324;-37.28523250858757
133;18;m100;7.166666666666667;1.312215420940875;2.289931297050388;-38.04700503468678;-27.430984453390124
134;18;m100;7.166666666666667;1.312215420940875;2.025227591055243;-38.04700503468678;-43.39040893644267
135;18;m100;7.166666666666667;1.312215420940875;1.058360136420454;-38.04700503468678;-28.722859575132986
136;18;m100;7.166666666666667;1.312215420940875;1.8696613736655203;-38.04700503468678;-28.56925052994029
137;18;m100;7.166666666666667;1.312215420940875;-0.24958759571955705;-38.04700503468678;-29.648679952733062
138;18;m100;7.166666666666667;1.312215420940875;0.2049277405257317;-38.04700503468678;-29.626533712951527
139;18;m100;7.166666666666667;1.312215420940875;1.9163166513818304;-38.04700503468678;-37.920550804720506
140;18;m100;7.166666666666667;1.312215420940875;2.270852348092836;-38.04700503468678;-43.77831364015958
142;18;m100;7.166666666666667;1.312215420940875;1.4605798177551943;-38.04700503468678;-37.28523250858757
143;18;m100;7.166666666666667;0.33972509908786247;2.289931297050388;-30.59297092390375;-27.430984453390124
144;18;m100;7.166666666666667;0.33972509908786247;2.025227591055243;-30.59297092390375;-43.39040893644267
145;18;m100;7.166666666666667;0.33972509908786247;1.058360136420454;-30.59297092390375;-28.722859575132986
146;18;m100;7.166666666666667;0.33972509908786247;1.8696613736655203;-30.59297092390375;-28.56925052994029
147;18;m100;7.166666666666667;0.33972509908786247;-0.24958759571955705;-30.59297092390375;-29.648679952733062
148;18;m100;7.166666666666667;0.33972509908786247;0.2049277405257317;-30.59297092390375;-29.626533712951527
149;18;m100;7.166666666666667;0.33972509908786247;1.9163166513818304;-30.59297092390375;-37.920550804720506
150;18;m100;7.166666666666667;0.33972509908786247;2.270852348092836;-30.59297092390375;-43.77831364015958
152;18;m100;7.166666666666667;0.33972509908786247;1.4605798177551943;-30.59297092390375;-37.28523250858757
153;18;m100;7.166666666666667;0.443947306936192;2.289931297050388;-35.566645701736206;-27.430984453390124
154;18;m100;7.166666666666667;0.443947306936192;2.025227591055243;-35.566645701736206;-43.39040893644267
155;18;m100;7.166666666666667;0.443947306936192;1.058360136420454;-35.566645701736206;-28.722859575132986
156;18;m100;7.166666666666667;0.443947306936192;1.8696613736655203;-35.566645701736206;-28.56925052994029
157;18;m100;7.166666666666667;0.443947306936192;-0.24958759571955705;-35.566645701736206;-29.648679952733062
158;18;m100;7.166666666666667;0.443947306936192;0.2049277405257317;-35.566645701736206;-29.626533712951527
159;18;m100;7.166666666666667;0.443947306936192;1.9163166513818304;-35.566645701736206;-37.920550804720506
160;18;m100;7.166666666666667;0.443947306936192;2.270852348092836;-35.566645701736206;-43.77831364015958
