index;file;start_times;stop_times;check_timings;duration;phase;who;voc_type;category1_M;category2_M;category1_F;category2_F;agr_cat1;agr_cat2;"Garde (0;1)";"Langue entendue (F;Autre)";"Langue parlée (1;2)";"bababa (0;1;2)";"bodaga (0;1;2)";"imitation (0;1;2)";"pointer doigt (0;1)";pretend play score (x/7);social gesture score (x/7);words understood (x/139);words spoken (x/139);word spoken all;"combiner mots 0;1;2";sentiments (x/4);expressions (x/5);"Reco miroir (0;1;2)";"attire attention soi (0;1;2)";"aime/aime pas (0;1;2)";"reco photo (0;1;2)";"attire attention actions (0;1;2)";Unnamed: 34;coded;audio_order;BB;delete_group;merge_group;cond;BBvoc_NM;BBvoc_M;othersound_NM;othersound_M;f0m_NM;f0sd_NM;f0pNa_NM;f0c_NM;f0m_M;f0sd_M;f0pNa_M;f0c_M;f0cSD_NM;f0cSD_M;HNR_M;HNR_NM;RMSm_NM;RMSsd_NM;RMSm_M;RMSsd_M
21.0;BB1_6M_1403_p100_NM;125.24;127.56;0.7700000000000102;2.3200000000000074;EXP;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_125.24_to_127.56;/BB/EXP/BB1_6M_1403_p100_125.24_to_127.56_EXP;/other/EXP/BB1_6M_1403_p100_NM_115.51_to_125.24;/other/EXP/BB1_6M_1403_p100_115.51_to_125.24_EXP;267.69365349264706;15.558069827610169;0.06206896551724138;551.1535390906436;283.45296875;16.385284853617605;0.06206896551724138;582.9917086943823;285.0828056084377;302.23003254186136;17.80051660344512;16.906834502496945;171.2753220993997;;160.61750283272124;
22.0;BB1_6M_1403_p100_NM;128.33;128.63;0.950000000000017;0.2999999999999829;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_128.33_to_128.63;/BB/EXP/BB1_6M_1403_p100_128.33_to_128.63_EXP;/other/EXP/BB1_6M_1403_p100_NM_127.56_to_128.33;/other/EXP/BB1_6M_1403_p100_127.56_to_128.33_EXP;1182.6001626016262;45.24850241262891;0.18;551.1535390906436;1251.6084552845527;44.13621130800114;0.18;582.9917086943823;285.0828056084377;302.23003254186136;21.67937162568775;21.97324645171304;466.3641981768901;;442.84305194580276;
23.0;BB1_6M_1403_p100_NM;129.58;130.1;1.0500000000000114;0.5199999999999818;EXP;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_129.58_to_130.1;/BB/EXP/BB1_6M_1403_p100_129.58_to_130.1_EXP;/other/EXP/BB1_6M_1403_p100_NM_128.63_to_129.58;/other/EXP/BB1_6M_1403_p100_128.63_to_129.58_EXP;655.421596009975;213.389492175567;0.22884615384615384;551.1535390906436;693.0833167082294;226.15629085705723;0.22884615384615384;582.9917086943823;285.0828056084377;302.23003254186136;14.240536401673841;14.95516567655957;168.91373270902747;;138.74258528979564;
24.0;BB1_6M_1403_p100_NM;131.15;132.28;12.069999999999991;1.1299999999999957;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_131.15_to_132.28;/BB/EXP/BB1_6M_1403_p100_131.15_to_132.28_EXP;/other/EXP/BB1_6M_1403_p100_NM_130.1_to_131.15;/other/EXP/BB1_6M_1403_p100_130.1_to_131.15_EXP;499.16318944844124;165.52467992732485;0.6306465899025686;551.1535390906436;529.9606714628297;179.1244285098242;0.6306465899025686;582.9917086943823;285.0828056084377;302.23003254186136;8.436160592614803;8.785198974742386;232.13530033220886;;202.78890552074282;
25.0;BB1_6M_1403_p100_NM;144.35;145.43;3.769999999999982;1.0800000000000125;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_144.35_to_145.43;/BB/EXP/BB1_6M_1403_p100_144.35_to_145.43_EXP;/other/EXP/BB1_6M_1403_p100_NM_132.28_to_144.35;/other/EXP/BB1_6M_1403_p100_132.28_to_144.35_EXP;790.7225794392524;198.31197196253953;0.5046296296296297;551.1535390906436;836.7712523364486;210.34959678391434;0.5046296296296297;582.9917086943823;285.0828056084377;302.23003254186136;13.148661946984015;13.641012379588027;59.58240480001651;;53.04013155996179;
26.0;BB1_6M_1403_p100_NM;149.2;149.6;5.900000000000006;0.4000000000000057;EXP;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_149.2_to_149.6;/BB/EXP/BB1_6M_1403_p100_149.2_to_149.6_EXP;/other/EXP/BB1_6M_1403_p100_NM_145.43_to_149.2;/other/EXP/BB1_6M_1403_p100_145.43_to_149.2_EXP;516.1751587301587;218.41302663983805;0.685;551.1535390906436;548.0402380952381;231.1413639397822;0.685;582.9917086943823;285.0828056084377;302.23003254186136;12.073724922060908;8.71935735636928;198.5035222770538;;179.2519228305625;
27.0;BB1_6M_1403_p100_NM;155.5;158.63;1.0600000000000025;3.1299999999999955;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_155.5_to_158.63;/BB/EXP/BB1_6M_1403_p100_155.5_to_158.63_EXP;/other/EXP/BB1_6M_1403_p100_NM_149.6_to_155.5;/other/EXP/BB1_6M_1403_p100_149.6_to_155.5_EXP;674.8100706713781;419.1667575877906;0.9095846645367412;551.1535390906436;708.2529328621907;439.0697891200937;0.9095846645367412;582.9917086943823;285.0828056084377;302.23003254186136;5.40177424660451;9.992517058755302;43.51399148924418;;39.498656908403824;
28.0;BB1_6M_1403_p100_NM;159.69;160.21;2.4199999999999875;0.5200000000000102;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_159.69_to_160.21;/BB/EXP/BB1_6M_1403_p100_159.69_to_160.21_EXP;/other/EXP/BB1_6M_1403_p100_NM_158.63_to_159.69;/other/EXP/BB1_6M_1403_p100_158.63_to_159.69_EXP;884.690544217687;83.07580335941017;0.7173076923076923;551.1535390906436;937.752925170068;88.4236544021063;0.7173076923076923;582.9917086943823;285.0828056084377;302.23003254186136;11.613990405709263;11.569348122210036;115.70965214558584;;106.29210206969826;
29.0;BB1_6M_1403_p100_NM;162.63;164.49;27.444999999999997;1.8600000000000136;EXP;B;Cr;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_162.63_to_164.49;/BB/EXP/BB1_6M_1403_p100_162.63_to_164.49_EXP;/other/EXP/BB1_6M_1403_p100_NM_160.21_to_162.63;/other/EXP/BB1_6M_1403_p100_160.21_to_162.63_EXP;496.8671319520174;173.44823770398133;0.5069892473118279;551.1535390906436;524.3732933478735;187.69445254862043;0.5069892473118279;582.9917086943823;285.0828056084377;302.23003254186136;10.277349287423107;11.469266030151612;390.780000037672;;321.18337805367224;
31.0;BB1_6M_1403_p100_NM;201.58;202.37;;0.7900000000000205;EXP;B;V;;;;;;;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_201.58_to_202.37;/BB/EXP/BB1_6M_1403_p100_201.58_to_202.37_EXP;/other/EXP/BB1_6M_1403_p100_NM_192.49_to_201.58;/other/EXP/BB1_6M_1403_p100_192.49_to_201.58_EXP;483.094121037464;69.01533674435174;0.12151898734177215;551.1535390906436;511.62220461095103;72.5260421748313;0.12151898734177215;582.9917086943823;285.0828056084377;302.23003254186136;17.695552505412802;16.9925542950177;634.4245686789982;;592.7416406014663;
