;index;file;start_times;stop_times;check_timings;duration;phase;who;voc_type;category1_M;category2_M;category1_F;category2_F;agr_cat1;agr_cat2;"Garde (0;1)";"Langue entendue (F;Autre)";"Langue parlée (1;2)";"bababa (0;1;2)";"bodaga (0;1;2)";"imitation (0;1;2)";"pointer doigt (0;1)";pretend play score (x/7);social gesture score (x/7);words understood (x/139);words spoken (x/139);word spoken all;"combiner mots 0;1;2";sentiments (x/4);expressions (x/5);"Reco miroir (0;1;2)";"attire attention soi (0;1;2)";"aime/aime pas (0;1;2)";"reco photo (0;1;2)";"attire attention actions (0;1;2)";Unnamed: 34;coded;audio_order;BB;delete_group;merge_group;cond;BBvoc_NM;BBvoc_M;othersound_NM;othersound_M
21;21;BB1_6M_1403_p100_NM;125.24;127.56;0.7700000000000102;2.3200000000000074;EXP;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_125.24_to_127.56;/BB/EXP/BB1_6M_1403_p100_125.24_to_127.56_EXP;/other/EXP/BB1_6M_1403_p100_NM_115.51_to_125.24;/other/EXP/BB1_6M_1403_p100_115.51_to_125.24_EXP
22;22;BB1_6M_1403_p100_NM;128.33;128.63;0.950000000000017;0.29999999999998295;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_128.33_to_128.63;/BB/EXP/BB1_6M_1403_p100_128.33_to_128.63_EXP;/other/EXP/BB1_6M_1403_p100_NM_127.56_to_128.33;/other/EXP/BB1_6M_1403_p100_127.56_to_128.33_EXP
23;23;BB1_6M_1403_p100_NM;129.58;130.1;1.0500000000000114;0.5199999999999818;EXP;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_129.58_to_130.1;/BB/EXP/BB1_6M_1403_p100_129.58_to_130.1_EXP;/other/EXP/BB1_6M_1403_p100_NM_128.63_to_129.58;/other/EXP/BB1_6M_1403_p100_128.63_to_129.58_EXP
24;24;BB1_6M_1403_p100_NM;131.15;132.28;12.069999999999993;1.1299999999999955;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_131.15_to_132.28;/BB/EXP/BB1_6M_1403_p100_131.15_to_132.28_EXP;/other/EXP/BB1_6M_1403_p100_NM_130.1_to_131.15;/other/EXP/BB1_6M_1403_p100_130.1_to_131.15_EXP
25;25;BB1_6M_1403_p100_NM;144.35;145.43;3.769999999999982;1.0800000000000125;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_144.35_to_145.43;/BB/EXP/BB1_6M_1403_p100_144.35_to_145.43_EXP;/other/EXP/BB1_6M_1403_p100_NM_132.28_to_144.35;/other/EXP/BB1_6M_1403_p100_132.28_to_144.35_EXP
26;26;BB1_6M_1403_p100_NM;149.2;149.6;5.900000000000006;0.4000000000000057;EXP;B;V;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_149.2_to_149.6;/BB/EXP/BB1_6M_1403_p100_149.2_to_149.6_EXP;/other/EXP/BB1_6M_1403_p100_NM_145.43_to_149.2;/other/EXP/BB1_6M_1403_p100_145.43_to_149.2_EXP
27;27;BB1_6M_1403_p100_NM;155.5;158.63;1.0600000000000023;3.1299999999999955;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_155.5_to_158.63;/BB/EXP/BB1_6M_1403_p100_155.5_to_158.63_EXP;/other/EXP/BB1_6M_1403_p100_NM_149.6_to_155.5;/other/EXP/BB1_6M_1403_p100_149.6_to_155.5_EXP
28;28;BB1_6M_1403_p100_NM;159.69;160.21;2.4199999999999875;0.5200000000000102;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_159.69_to_160.21;/BB/EXP/BB1_6M_1403_p100_159.69_to_160.21_EXP;/other/EXP/BB1_6M_1403_p100_NM_158.63_to_159.69;/other/EXP/BB1_6M_1403_p100_158.63_to_159.69_EXP
29;29;BB1_6M_1403_p100_NM;162.63;164.49;27.444999999999993;1.8600000000000136;EXP;B;Cr;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_162.63_to_164.49;/BB/EXP/BB1_6M_1403_p100_162.63_to_164.49_EXP;/other/EXP/BB1_6M_1403_p100_NM_160.21_to_162.63;/other/EXP/BB1_6M_1403_p100_160.21_to_162.63_EXP
30;30;BB1_6M_1403_p100_NM;191.935;192.492;9.087999999999994;0.557;EXP;N;;N;;N;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;1.0;373.0;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_191.94_to_192.49;/BB/EXP/BB1_6M_1403_p100_191.94_to_192.49_EXP;/other/EXP/BB1_6M_1403_p100_NM_164.49_to_191.94;/other/EXP/BB1_6M_1403_p100_164.49_to_191.94_EXP
31;31;BB1_6M_1403_p100_NM;201.57999999999998;202.37;;0.7900000000000205;EXP;B;V;;;;;;;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_201.58_to_202.37;/BB/EXP/BB1_6M_1403_p100_201.58_to_202.37_EXP;/other/EXP/BB1_6M_1403_p100_NM_192.49_to_201.58;/other/EXP/BB1_6M_1403_p100_192.49_to_201.58_EXP
32;32;BB12_6M_1204_m100_NM;0.57;1.01;1.4840000000000002;0.44;BL;N;;N;;B;VS;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_0.57_to_1.01;/BB/BL/BB12_6M_1204_m100_0.57_to_1.01_BL;none;none
33;33;BB12_6M_1204_m100_NM;2.494;2.766;7.114000000000001;0.272;BL;N;;N;;M;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_2.49_to_2.77;/BB/BL/BB12_6M_1204_m100_2.49_to_2.77_BL;/other/BL/BB12_6M_1204_m100_NM_1.01_to_2.49;/other/BL/BB12_6M_1204_m100_1.01_to_2.49_BL
34;34;BB12_6M_1204_m100_NM;9.88;11.43;2.0869999999999997;1.549999999999999;BL;B;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_9.88_to_11.43;/BB/BL/BB12_6M_1204_m100_9.88_to_11.43_BL;/other/BL/BB12_6M_1204_m100_NM_2.77_to_9.88;/other/BL/BB12_6M_1204_m100_2.77_to_9.88_BL
35;35;BB12_6M_1204_m100_NM;13.517;15.368;1.0559999999999992;1.851;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;4.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_13.52_to_15.37;/BB/BL/BB12_6M_1204_m100_13.52_to_15.37_BL;/other/BL/BB12_6M_1204_m100_NM_11.43_to_13.52;/other/BL/BB12_6M_1204_m100_11.43_to_13.52_BL
